,Unnamed: 0,Title,Company,Location,Snippet,Job Url,Salary,Seniority
662,662, Warehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tDjPOObjR4l9K6shN_DrMwo8cJp24lkbO1Jof97KIM-j9TnncNs_kJIxxHFNbiYWLanS1KJL-qRAxIJRY9KIm5WpXWXQ8NFcsXMjK9NpPSZEMopASi-q1xtAkSZ25I19yIKfxs3qp0mSva5blXO1zIgLyF6lP7s58yYT2bMUuSbXAm-SBmVCQcLEsaMKPZ43WCYu4UrqSSv07WCmfbh6-Kh0M12lypIgvHDaMMLmv23dT_SpH-vsg5HiNYDttPFYzhHfjwPhUdzjqz38p657ZFkkYXpbRqM03ZuDHlN7wMmY=&p=2&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month",middle_level
664,664, Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month",middle_level
666,666,Business Development Manager,JINGDONG(JD.COM),Manila,"JD Philippines is currently looking for a Business Development Executive, based in Manila The candidate shall report to the Country Manager.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDFKSVTu9K_6qBe-cYT6XrY5URGvXL_-ts1AqW9NR5ZK4eeQmI36m9HoCf4Zj-In6lP4-qRbUpkh930rVbDvCUyYDmHxaOPKMfk8OmeVH1X7Yoq1o7J8x8BLGWaYQThYffM9im6_VoiowmwCnToxAGTznMlbhMaQG6G6ep8TvTyHPFSO_X7JEjIgDxvI6-MXE3p-DE9gRizAMDl4rjtVKPfL8R2lyi-m9iIWyoroBdRaeKGIteDEcea5xHT9UXcJBYq6wXqc3sGLQaUebKyTdlqsCz3SEjSnDMsxSzpycrtU9vLbwSMWdRwXhVRu1Ug8-Dlr_Aih5qzzkLHFRqyIZLb4AWm8ji3CTlbOl2RyXJTL7I7IJ4OZE37oJ2r5eGAIKTKbaYcQ7DkiqAq4wRVc6rqLTWDoOgf60D1vgCxDLjItHpSSZbM8R4jItHHLtvDiKD89RJYx-uXKWBMSsyW_ZNNp_0BIAK6lo=&p=6&fvj=1&vjs=3,"PHP 90,000 a month",middle_level
667,667,Area Manager (Food and Beverages),Making Fine Beverages Corporation - TIGER SUGAR PH,Manila,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are compliant with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-faa1d09beb30176c?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 - PHP 28,000 a month",middle_level
668,668,Restaurant Manager,Landers Central,Alabang,"Monitors and analyzes sales and performance report.Responsible in achieving target sales and profitability of the restaurant.Job Types: Full-time, Permanent.",https://ph.indeed.com/company/Seafood-City/jobs/Restaurant-Manager-bc94ba58f93361c1?fccid=0780ae8b7adf26f3&vjs=3,"PHP 30,000 - PHP 35,000 a month",middle_level
669,669,Assistant Restaurant Manager,Popeyes Philippines,Quezon City,The Assistant Restaurant Manager assist in all managing aspects of a restaurant's operation in order to ensure that Popeyes Louisiana Kitchen Philippines Inc.…,https://ph.indeed.com/company/Popeyes-Philippines/jobs/Assistant-Restaurant-Manager-c90487cd156512a8?fccid=4da358b339819494&vjs=3,"PHP 25,000 - PHP 28,000 a month",junior_level
670,670, OPERATIONS MANAGER (Food & Bev Industry),Career Purveyors Co.,Alabang,"Day-to-day management of the restaurant operations, including administrative oversight of the brewery, commissary and logistic operations.",https://ph.indeed.com/company/Career-Purveyors-Co./jobs/Operation-Manager-6dba3f4425581e90?fccid=b7032157fd4e9a05&vjs=3,"PHP 25,000 - PHP 35,000 a month",middle_level
672,672, SHIFT MANAGER (KENNY ROGERS ROASTERS MATALINO QUEZON CITY),Kenny Rogers Roasters,Quezon City,"Ensure that proper shift endorsement is accomplished at all times for each incoming shift manager Implements the following shift activities/reports, depending…",https://ph.indeed.com/company/Kenny-Rogers-Roasters/jobs/Shift-Manager-4b2d1dec64f345ef?fccid=cf58b7f49cb347ad&vjs=3,"PHP 17,000 - PHP 18,000 a month",middle_level
673,673, Restaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month",middle_level
675,675,Operations Manager,Vrio-Fintech,Remote,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7k-DU2bh4T5ubagTYPv6twINB_mqolPJsBkR1pweU5e8Zc_PCwo0VRQ3V79558hhyo6rRibIV99iuyHnoznKE9MV6hzESYV8D2D6BEBqWUp430490yz-MGecm8rOLt-QGIVphROOHUIHsyKjBvkhPIp-rw7OfXqFR__zCh1GsvoA-f51ZFhHA2QAkZjVl-ysxk14rmZYxOS0vECN51ECxgkC5uPn2kLxMDNUxk8ovYY4sBpXBs-Jeu3fIxX5-D6Pzo66YacKag8XrTVtaeM-ZBw6EdiqZzAz8Cx-5FxbNW2EM=&p=0&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month",middle_level
676,676, Warehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tFcXe6bd000hReBf2gwbeFypyG6gEr0WiUUrlXzc3oNmJwmVsr4gUIFsQPSfiFRFUXJ1aGrhlGig2TJD6W2xc19OS-hl3VWHRnXEEA_hO_piwcnzX_6yA7C8oGiaGhqg4GqVeXk7ySLCaz0vI3Orj8wry2OUInYYhsYdAThE-TP9IWn7IXsWqYqGjEu8kJJQ9AfCPrRC1bFbvD_oyAEts2zEc74gioiJzNyNBn8PRW8_w3eM3D_PqJzEnwdJ50HS6oVZoiovctFQp1-DYmYrA0iXgID0legHfpM6PbGHbw6I=&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month",middle_level
677,677, Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month",middle_level
678,678,Area Manager (Food and Beverages),Making Fine Beverages Corporation - TIGER SUGAR PH,Manila,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are compliant with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-faa1d09beb30176c?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 - PHP 28,000 a month",middle_level
679,679,Restaurant Manager,Landers Central,Alabang,"Monitors and analyzes sales and performance report.Responsible in achieving target sales and profitability of the restaurant.Job Types: Full-time, Permanent.",https://ph.indeed.com/company/Seafood-City/jobs/Restaurant-Manager-bc94ba58f93361c1?fccid=0780ae8b7adf26f3&vjs=3,"PHP 30,000 - PHP 35,000 a month",middle_level
680,680,Assistant Restaurant Manager,Popeyes Philippines,Quezon City,The Assistant Restaurant Manager assist in all managing aspects of a restaurant's operation in order to ensure that Popeyes Louisiana Kitchen Philippines Inc.…,https://ph.indeed.com/company/Popeyes-Philippines/jobs/Assistant-Restaurant-Manager-c90487cd156512a8?fccid=4da358b339819494&vjs=3,"PHP 25,000 - PHP 28,000 a month",junior_level
681,681, OPERATIONS MANAGER (Food & Bev Industry),Career Purveyors Co.,Alabang,"Day-to-day management of the restaurant operations, including administrative oversight of the brewery, commissary and logistic operations.",https://ph.indeed.com/company/Career-Purveyors-Co./jobs/Operation-Manager-6dba3f4425581e90?fccid=b7032157fd4e9a05&vjs=3,"PHP 25,000 - PHP 35,000 a month",middle_level
683,683, SHIFT MANAGER (KENNY ROGERS ROASTERS MATALINO QUEZON CITY),Kenny Rogers Roasters,Quezon City,"Ensure that proper shift endorsement is accomplished at all times for each incoming shift manager Implements the following shift activities/reports, depending…",https://ph.indeed.com/company/Kenny-Rogers-Roasters/jobs/Shift-Manager-4b2d1dec64f345ef?fccid=cf58b7f49cb347ad&vjs=3,"PHP 17,000 - PHP 18,000 a month",middle_level
684,684, Restaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month",middle_level
686,686, ASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month",junior_level
687,687, Food and Beverage Manager,Golden Pyramid Management Solutions Inc.,Makati,"Hire, train and manage, supervise, develop, discipline and counsel all food and beverage management team members according to company policies and procedures.","https://ph.indeed.com/company/GOLDEN-PYRAMID-SKILLS-DEVELOPMENT-AND-MANPOWER-RESOURCES,-INC./jobs/Food-Beverage-Manager-e3252ef49e92eb10?fccid=7d4f76893d11c2e1&vjs=3","PHP 25,000 - PHP 50,000 a month",middle_level
688,688,Customer Experience Manager (Permanent WFH),Penbrothers International Inc.,Remote,Contribute in developing and improving our overall customer experience.Define and put in place better processes to improve the customer journey experience.,https://ph.indeed.com/company/Penbrothers-International-Inc./jobs/Customer-Experience-Manager-15382ac3c647d6c1?fccid=f073b02fe5aaf1d9&vjs=3,"PHP 40,000 a month",middle_level
690,690, Warehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3t8iKGQoRkUFEt3p55PDupeW4xDOTN1ZpeOOSGRMWSmfE4tQNFLaWdJQCVmQarbzlz1JHczegCHlvC7RKXjg3JIai-F8sE5aXS2tPUK5u0b3u8UX3vP-zgeVHmTlxwtYh9xDagg7jbujbcewWtIcmx2reUxwZ4imnBA0anJwvS_aK-N5S9wkAutNL5ti3f_U7TCW06siyLmQbi7hYdEB7AXKTVBMmsMXOu9c7D0iGuqRG6C_EeUs4T3K1xvm0obb7ErurPRA_duydNZtqzNtEUe4XKEqLRrEdlBcnzwlOdgBs=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month",middle_level
691,691,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq7qCYWe7yNoWTa97Cmll5JnW949FP498PBKDK9yV3iHzowlQup29CYfPwjs5hzI1iGYa6pZXBoxf-jXt46xsVwQnTLoE-R9IwpnPUwRyKxpIT9Q7JpgrDW_E7Mbg1RsqkEWv-ONEdXtVX0s2-rD_UYUGvVPeKNS95gvVpGYi07C40HPQtyhvGCkOka_un0z_KZXjfqARojvJ_NPh5xlodypl22mkX4FPoJRwdwDx3oz2mdbkA3SylFrPoG2W0wUFcBA9TOe3NuPpOqtObnQuEg0MfPHNKT4853&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month",middle_level
692,692,Operations Manager,Vrio-Fintech,Remote,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7kFOn7NUMPQBlH-ICkSE4CX3w6yomlm6-UAj5mzQzckp_yF6nHelpXsyJ3DKcVN06WcaolL2sgMZA2PbmhLKL83GSrgkKSV1XdrDfwRfeFkTuNXVGAX52_ZX2COSmxCTqCRRsKy1aOTXd-pONfTYdjrn8GEUUMj-D_O4iu3OunD3mdqTXvEsj4xMke_ugtNf8-OHdLDpsrUvNUIDz9MTBWvHMcQoBxGnwKvUOpabR2UJSQuQsbzh6LDk37N4LPro88LmcDE9RHoCfXzVgD6Ivfq2DxBrcF6l7TXHYPWsgTxj8=&p=2&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month",middle_level
693,693, Business Development Manager,Counto,Remote,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.Event management skills are an added plus.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgaeahlEyri8eZ1p9x1ngAixxe-Ma0-rsrLv4CmyL2-QRd4x1UwST6Hb9UYD7fyUUqqvtKxT8bHsDGhWft2-kYboMzy-hPAINA_6cCqiXtbQQxPvQaWGxai3bnrHoB0Uobg8QUu5WWq1CGxiV0t43j1xLHEO7rgalY1FIQtSeyXfrQpcg-LlDCIfa7Q4uotW0_q3dKeCJCmD4TzWPP_ELZLZ7_A4QNc9wKDL7GfWLJvDRUYroVJCZisjofuc0f-sgCWFGgmTONF63K4rCnkQ5F9X2gchKo2Y0eSojxMzxsrIUKhF8tPCq25s=&p=3&fvj=1&vjs=3,"PHP 25,836 - PHP 83,799 a month",senior_level
695,695, Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month",middle_level
697,697,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month",middle_level
698,698, ASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month",junior_level
699,699,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month",middle_level
700,700, OPERATIONS MANAGER,Kings Group of Companies,Makati,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month",middle_level
703,703, Restaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month",middle_level
704,704, Operations Manager (Temporary work from home set-up until fu...,JK Network Services,Remote,Atleast 3 years of experience as Ops Manager/Assistant Manager.Amenable to work onsite and WFH set-up.Advertising experience is a plus.,https://ph.indeed.com/company/JK-Network-Services/jobs/Operation-Manager-5c1ee6e67f3c14d8?fccid=62bd09cb34df5ce3&vjs=3,"PHP 70,000 - PHP 80,000 a month",senior_level
705,705, Warehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tZhOvJgb_Od4sWaKXHmMQg4HYeM4aGo8_XuKOibQpcPmADQqt5ybg6NMAvUbKgak2hhwwroARFNtL5Hmtuucy5hnQnJ4dOnOPzCpheC7IMNIal86p8dM1sG2Mm20jZA6GyZ0ffWxwlffJXRiHcuVHzjA-pvJZwmL-SFu7x0peb57C1E2wyRtVF0t1wsBbDQvF-B7m8s_Yi5FhSChlvk0eL5g50qGcwPbH2ZllQdPG2WL1MPGCfAjeqVQmZTgy9xfKg_4L02yf9BEeKR6TfzsF8X1yxzKlkkw0NV1v0JDR2ZU=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month",middle_level
706,706,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq78VQ_FwLjgfXXAcRaiKChprxzX2RvmJyfuj8xRikTIQB6bbLctR9punD0yWbdVDRDVD1gpwzHnWARPAUX0FsWeUDn1Ibs9vZ4fU1LwU1E7FIE7_MQ6g0Td6fqYclFhgpwP13-iXxFwiJe9B2cqAfz4ANToQ8Wza3gR5SUZ_txHo-JwZiQ4PnDJ6bUCyjDJ9gncILY1ScrzIOxTXOEDhCh3rA7tklxBC0-xh-coUkD_hv5hMiXruXWwkzq5T_msAykhMLQbcjIojvii1NEd_PEABuylnPDreSS&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month",middle_level
707,707, Business Development Manager,Counto,Remote,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.Event management skills are an added plus.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgaeahlEyri8eXB5GEC-CI0Rcc5Sd5tpottpTycGeckdHW6HuYN0Yovyl8BYRUD1LrqnLL64HIyXwMuwoUK-Myz4WpJnSOoAylDbpRgfX7f1Mfahh4O7wtkkDRo8K0qGi_du-COEdmVOJzL1CrOhgqrLfvJk123H7uMjciRigIcgWHvmWyNy6_GJaahi7iqFvINFAEyIRH1bM6W-_GNaCuyLyDByqM5O0LaEs8VrOIU9sxkehr_tC0PpeHB42BYkrl6a2xIuo-iTPXfejrkVPqR72IfPpQ3Mrwr_pj4wNlJ_eCpaX0vy9zwk=&p=2&fvj=1&vjs=3,"PHP 25,836 - PHP 83,799 a month",senior_level
708,708,Operations Manager,Vrio-Fintech,Remote,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7k2m0W747h8APV5mNhpmrzep9cQOiFZL-kGg6wc-3lZw5AerV4R6AfPcikl1onZJcAmQsHKeEQqzS7UH2z1LEnmeyETHJxyJ1Cv_MVf4o63JWRbB4I0f_FrSop6owuXlEBsKEuC5LuGHLDNgnqJsLbtarWE9v9l6NYkVdvJw9b8Y8kb_4UeRJ6-4KYg_WWNGs555v0z3Fb30JAyOSngSJ4TzMY_bCJohukwEQJIcvFhJm6GL9liJj-KIdPhUVHG5W9seWkptMRQ-5ebQJNVwC-axOIPgwRaIFWgvdwJBzNTDQ=&p=3&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month",middle_level
709,709, Concession Sales Manager,Richprime Global Inc,Quezon City,"Job Purpose: Responsible for planning, implementing and directing the sales activities of the company in assigned territory to achieve sales objectives.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CENJk4o9GUurtIJdOl7KSv0iEgy0-Xt7T_29a-YielZtoINrID6B-j0nvPJJ7QfUi-pztEjolHFh44gUrUwv5Nq2xdUu_4PTF1aHISwbxJ7rrI_L7yl5QfDcGfdeSE2SWgSzn36oUWkgJ-6T2Jz4mh-SgmGfg35BxhlHMnW-M-m5t1yfJwjPyCgCTkYrwNxpAhdrx-QjHQAn53QKL2myG5TY6X5uSY7ps3331EolRG7rKMYDe7r0ejz_hst-bi65HxmbVOJEiJW7q3IEN55w2BEerPG-nA3j9qHkmqqzIQwPlMJvOBF_uOgag0hMgyYAirXgECYCPOspxaCrlRZFqghxayFhesQugrO2SZqlcBiBSUe05KZs5WCEvSAhbwJfWKDO9OBBWQ5mubb9kGDWZzbOqIwTQkbFKkf1Oq5jz7dU0Q51YVOkuywJszHrB_plXgOr7kUnREYaRp6UL8Fnt5c2qflxv1vG0=&p=4&fvj=1&vjs=3,"PHP 40,000 - PHP 50,000 a month",middle_level
711,711, Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month",middle_level
713,713,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month",middle_level
714,714, ASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month",junior_level
715,715,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month",middle_level
716,716, OPERATIONS MANAGER,Kings Group of Companies,Makati,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month",middle_level
719,719, Restaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month",middle_level
