,Title,Company,Location,Salary,Job Url,Snippet,Seniority,Average
619,Front-End Web Developer,Circa Logica Group,Makati,"PHP 20,000 - PHP 30,000 a month",https://ph.indeed.com/company/Circa-Logica-Group/jobs/Front-End-Web-Developer-ffbb5185fbe630a4?fccid=a13d01cfb2cb212d&vjs=3,"Proficiency in front-end design with the use of HTML, CSS, and JavaScript.",middle_level,25000.0
836,C# Software Developer,Circa Logica Group,Remote,"PHP 25,000 - PHP 40,000 a month",https://ph.indeed.com/company/Circa-Logica-Group/jobs/Csharp-Software-Developer-766fff94f9cd95fb?fccid=a13d01cfb2cb212d&vjs=3,Equipment will be provided by the company.,middle_level,32500.0
651,Graphic Designer,ClearSource,Pasig,"PHP 15,000 - PHP 18,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlLjALkJc4ojrO85PIzvTkh1fU0tWU9hbttqMbSveBLu--4eep4pfnYgFJE7t0HHZaFlGWySG8MFWGDB_lWHZlGcItRGNUfaSGgsCvTo1m4XJcNvk_UMLP_LWGid9qg_3KTzrsDuyNi9ojvYJSeAdakW28msDdk82dOlvG0GYCv9O9ASy5NqeJaKFUDHEvl8t3MIcb7PRvuTdPRQKtqbETxESHY2-phumyhFC-gWTbCA4A93rc2zAv08rLmxJTOD4y33U6EefyDkT4k75XEGGCNd0q8YdVe5JRIab4gMEnYxhVvpTtvlTGgmwLRmHJ9G1L8sk_YJyGcee9PiJSA_MhbqPrhBCEfw30HTOoz3d9z8np0XIalYPULPKCaWzZk1Vpwf-es69ro40Gtr9lRDq51zaDkKM_b3x0pQb_JvLRPC1O5RwoT3AiPxVvs0pXD7k8Cwx6lb0BPizB0bWf0JgXWtDIFBBUf57YKZcivXdo9-XtTST1GBcyh1dx7-gSNU4CdKUdcU25oRJPIWjvPXCqY5eDh2lIjFuHkGKQAMKts5yueeTlofaPcoxR_7L9i8x1MziIIWBLxFF9zg-rRexmCkMmCTIhOG_QNpOTq5-Hck6W6eoFzeMW5LJ3vVQHjT0=&p=0&fvj=1&vjs=3,"The Junior Graphic Artist is responsible in creating infographics, job ads, and other digital materials in support for various Marketing Initiatives.",junior_level,16500.0
614,Front-End Web Developer (React JS),Cloud Panda PH Inc.,Remote,"PHP 25,000 - PHP 36,000 a month",https://ph.indeed.com/company/Cloud-Panda-PH-Inc./jobs/Front-End-Web-Developer-9f7998c5dc9664c7?fccid=385a32c1b8127bf2&vjs=3,With at least 1-2 years of relevant experience in web development.,senior_level,30500.0
686,Graphic Designer (WORK FROM HOME-URGENT),Colgate-Palmolive,Remote,"PHP 20,000 - PHP 27,000 a month",https://ph.indeed.com/company/Syluxent-Inc./jobs/Graphic-Designer-3ee0b3c52b9de012?fccid=0aef70b453a5d48b&vjs=3,Graphic designer: 3 years (Preferred).,senior_level,23500.0
389,Sales Manager,Consistent Frozen Solutions,Remote,"PHP 50,000 - PHP 100,000 a month",https://ph.indeed.com/company/Consistent-Frozen-Solutions/jobs/Sales-Manager-47b34654098616dd?fccid=2594685aaaceda4d&vjs=3,"Incentive: Up to 50,000 pesos*.",middle_level,75000.0
255,Customer Service Lead Generation outbound - AU Shift,Cooee Inc,Remote,"PHP 20,000 - PHP 30,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDwiOZZzy2Eg39bQ9Wv5vBgo2f87COyTeFUASPxMhB2GoXKXPQ4s9MPWCZ3rk_o7Hx3Mq7ldGazsiU91YUSbS5YNlqAgD4gdg_Vx1iDgDmUi92NxtWESX6DzwhZn3Nm_vJ6iYWfeOOOJxUZahq9m_cIz0v6oBP0RbEVAx6V0eHt7b1vyiVizeonFkfwO4YNZTl-tbru8_JyCneBrdYCF6j0brMkojD9VIRKnK2H5mjjFZ_bYD3AbA8ufShZixBuuepEBX6NLqGExwicGIYtsDOhPmgUS_2GxpwSzX2XjofBuna8b0HNlmNGX6xTBGVNgS-FrJf0J5v4_J36Qu8MEPvNTsQjSBchECn_qfehOSIq-ckiI3Ll8D6gkDfYLGxbiTYTzADtkI_kFyWvyZvekYF-Ib76wgtEcuDyXwtoc8c7bFDK0Jhroa_ABhdw9dtDdioUCQMrLP69MpOIPrCUKnerHTsMpKg0hoNYmZ_Us1zlN4EKLs5GvOK091cE3jS5qn4-Wv4Z04CdQ==&p=0&fvj=1&vjs=3,The environment is fast paced and you will be making a direct impact with every single customer interaction.,senior_level,25000.0
15,Business Development Manager,Counto,Remote,"PHP 25,836 - PHP 83,799 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgfeMpCfjMRHg9wf4MU_CUZ8PltGwJ7MWtOKTRxg21RcHDxUtP8i-NDob09rvzhKdS7v-_hDJST-kuXCmR1gX1EuV1sAVfHsxpPPVwyLlw5pgosHzoZKkICrjZ-MJIJYIz8GQI67y_nWO5b7FF_NJesg1_rG2jsweWZsjIP0gkAbMFGWbWOs6fsZDFqD1YqJJCQreih_PI0IPYFrEB2TIap200-CrnvA-WwXXO86GXclMPL2CsZcAMe2dOXlz-UDnOL_OfBEawfAYyYSWu1-v_33G2T-3aEIfagx02gD8M9XtYPqJqT4gbW0=&p=0&fvj=1&vjs=3,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.,senior_level,54817.5
470,HR & ADMINISTRATION MANAGER,Creative Ideas and Media Solutions Inc.,Remote,"PHP 60,000 - PHP 100,000 a month",https://ph.indeed.com/company/Creaive-Ideas-and-Media-Solutions-Inc./jobs/Human-Resource-Administration-Manager-0b69c434f9b06b73?fccid=d2be5b5a6dbe985b&vjs=3,Develop and implement HR strategies and initiatives.,middle_level,80000.0
409,Human Resource Manager,DDC Land Inc.,Pasay,"PHP 30,000 - PHP 50,000 a month",https://ph.indeed.com/company/DDC-LAND/jobs/Human-Resource-Manager-142f95afaca66662?fccid=d43d62d7f1fbd858&vjs=3,Advises supervisors/managers in dealing with employee discipline issues.,middle_level,40000.0
